#Survey     ID              KGAS_ID    FWHM      
#==================================================
MANGA      1-207           12         2.59434   
MANGA      1-245           430        2.51755   
MANGA      1-277           6          2.53192   
MANGA      1-286           34         2.6174    
MANGA      1-296           223        2.57973   
MANGA      1-380           222        2.57517   
MANGA      1-383           9          2.65768   
MANGA      1-411           227        2.5823    
MANGA      1-480           428        2.50932   
MANGA      1-954           8          2.44292   
MANGA      1-1037          429        2.64625   
MANGA      1-1093          178        2.65458   
MANGA      1-1151          117        2.53682   
MANGA      1-1243          189        2.58132   
MANGA      1-1258          115        2.61943   
MANGA      1-1278          119        2.6269    
MANGA      1-4036          401        2.78728   
MANGA      1-14151         284        2.43441   
MANGA      1-14162         285        2.496     
MANGA      1-35334         394        2.60515   
MANGA      1-35371         396        2.57941   
MANGA      1-35530         395        2.63396   
MANGA      1-35957         393        2.60947   
MANGA      1-36392         338        2.31936   
MANGA      1-36645         124        2.78962   
MANGA      1-36847         155        2.405     
MANGA      1-36849         154        2.66534   
MANGA      1-36854         336        2.43881   
MANGA      1-36867         126        2.45573   
MANGA      1-36878         340        2.38429   
MANGA      1-36892         331        2.41536   
MANGA      1-36899         332        2.38461   
MANGA      1-36927         334        2.46258   
MANGA      1-36942         130        2.40218   
MANGA      1-36975         129        2.34296   
MANGA      1-37018         335        2.52915   
MANGA      1-37068         333        2.5318    
MANGA      1-37126         122        2.42843   
MANGA      1-37385         123        2.48784   
MANGA      1-37407         156        2.39015   
MANGA      1-37415         151        2.36988   
MANGA      1-37421         152        2.4058    
MANGA      1-37478         148        2.54665   
MANGA      1-37796         127        2.51494   
MANGA      1-37908         150        2.55972   
MANGA      1-37995         73         2.42822   
MANGA      1-37998         233        2.55909   
MANGA      1-38029         74         2.58723   
MANGA      1-38033         68         2.47528   
MANGA      1-38041         232        2.52039   
MANGA      1-38042         241        2.57656   
MANGA      1-38062         240        2.58494   
MANGA      1-38103         149        2.60337   
MANGA      1-38155         231        2.54571   
MANGA      1-38167         234        2.59536   
MANGA      1-38168         238        2.40963   
MANGA      1-38272         230        2.60319   
MANGA      1-38293         72         2.56629   
MANGA      1-38299         408        2.5912    
MANGA      1-38353         71         2.55631   
MANGA      1-38374         228        2.53963   
MANGA      1-38398         239        2.57167   
MANGA      1-38463         236        2.54037   
MANGA      1-38470         407        2.60112   
MANGA      1-38514         77         2.53607   
MANGA      1-38521         76         2.41944   
MANGA      1-38541         229        2.39743   
MANGA      1-38543         235        2.37061   
MANGA      1-38553         237        2.39596   
MANGA      1-39880         27         2.4794    
MANGA      1-39922         377        2.60705   
MANGA      1-39946         376        2.42695   
MANGA      1-39995         26         2.39831   
MANGA      1-40534         30         2.61047   
MANGA      1-40577         33         2.56397   
MANGA      1-40777         24         2.53519   
MANGA      1-40778         31         2.59836   
MANGA      1-40796         374        2.50626   
MANGA      1-40810         29         2.67683   
MANGA      1-40883         370        2.82534   
MANGA      1-41030         375        2.36157   
MANGA      1-41133         372        2.41468   
MANGA      1-41257         378        2.43278   
MANGA      1-41258         379        2.37096   
MANGA      1-41260         371        2.73834   
MANGA      1-51079         297        2.67111   
MANGA      1-51315         291        2.76692   
MANGA      1-51332         295        2.67432   
MANGA      1-51378         300        2.48508   
MANGA      1-51568         293        2.62404   
MANGA      1-51612         298        2.59774   
MANGA      1-51616         299        2.5208    
MANGA      1-51776         296        2.47546   
MANGA      1-51779         292        2.41664   
MANGA      1-51799         294        2.49015   
MANGA      1-52368         51         2.54287   
MANGA      1-52554         49         2.54706   
MANGA      1-52578         53         2.52756   
MANGA      1-52600         48         2.4755    
MANGA      1-52637         50         2.37937   
MANGA      1-52677         52         2.58102   
MANGA      1-53870         251        2.57711   
MANGA      1-54586         245        2.63706   
MANGA      1-54602         47         2.67011   
MANGA      1-54829         40         2.38923   
MANGA      1-54940         5          2.44307   
MANGA      1-54970         13         2.42287   
MANGA      1-55178         10         2.59257   
MANGA      1-55227         7          2.54382   
MANGA      1-55399         185        2.51229   
MANGA      1-55513         187        2.43407   
MANGA      1-60334         35         2.61647   
MANGA      1-60570         177        2.51639   
MANGA      1-60629         184        2.49653   
MANGA      1-60653         219        2.50223   
MANGA      1-62037         400        2.75513   
MANGA      1-70172         442        2.38552   
MANGA      1-70384         84         2.42081   
MANGA      1-70386         281        2.5791    
MANGA      1-76735         260        2.47288   
MANGA      1-77735         36         2.5599    
MANGA      1-77800         45         2.65069   
MANGA      1-78021         44         2.44462   
MANGA      1-78117         43         2.36748   
MANGA      1-78155         11         2.32988   
MANGA      1-78213         182        2.44063   
MANGA      1-78239         181        2.48835   
MANGA      1-78252         188        2.62399   
MANGA      1-78284         226        2.59018   
MANGA      1-78291         38         2.53934   
MANGA      1-78294         42         2.60106   
MANGA      1-78343         221        2.56137   
MANGA      1-78353         183        2.56213   
MANGA      1-78377         41         2.54861   
MANGA      1-78439         180        2.45785   
MANGA      1-78451         37         2.51198   
MANGA      1-78452         120        2.50405   
MANGA      1-78627         121        2.46398   
MANGA      1-78665         116        2.4869    
MANGA      1-78766         186        2.43736   
MANGA      1-78783         112        2.43354   
MANGA      1-78858         224        2.44675   
MANGA      1-78873         114        2.51702   
MANGA      1-79052         179        2.50221   
MANGA      1-79095         118        2.36777   
MANGA      1-81110         399        2.34564   
MANGA      1-82432         82         2.51898   
MANGA      1-82669         78         2.49246   
MANGA      1-82684         437        2.49889   
MANGA      1-82687         439        2.42506   
MANGA      1-82991         444        2.43868   
